Region_CN,Population
广东,11169
山东,10005.83
河南,9559.13
四川,8302
江苏,8029.3
河北,7519.52
湖南,6860.2
安徽,6254.8
浙江,5657
广西,4885
云南,4800.5
江西,4622.1
辽宁,4368.9
福建,3911
陕西,3835.44
黑龙江,3788.7
山西,3702.35
贵州,3580
重庆,3048.43
吉林,2717.43
甘肃,2625.71
内蒙古,2528.6
新疆,2444.67
上海,2418.33
北京,2170.7
天津,1556.87
海南,925.76
宁夏,681.79
青海,598.38
西藏,337.15
